ENSEMBL	ENTREZID	SYMBOL	GENENAME	E504	E506	E508	E511	E515	E538
ENSMUSG00000000001	14679	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	553.90810801873	491.287892185184	394.369690068835	529.655533369371	535.791578869969	462.077384173342
ENSMUSG00000000028	12544	Cdc45	cell division cycle 45	80.388254245263	93.1583827496855	69.1019456934773	74.7986821933844	81.3155618659205	84.7330166577032
ENSMUSG00000000031	14955	H19	H19, imprinted maternally expressed transcript	35351.010106595	33085.9350944673	50986.7659300145	49426.7670347879	45393.0200218921	44699.490720827
ENSMUSG00000000037	107815	Scml2	Scm polycomb group protein like 2	4.40483584905551	1.96122911051969	2.0939983543478	1.0107930026133	2.22782361276494	2.25954711087209
ENSMUSG00000000049	11818	Apoh	apolipoprotein H	3.30362688679163	5.88368733155909	4.88599616014486	15.1618950391995	15.5947652893546	14.6870562206686
ENSMUSG00000000056	67608	Narf	nuclear prelamin A recognition factor	4053.55019009333	3991.10123990758	3907.40092921299	4134.14338068841	4012.31032658967	4173.38351378074
ENSMUSG00000000058	12390	Cav2	caveolin 2	1156.26941037707	1119.86182210675	742.671416342019	1247.31856522482	1314.41593153132	1102.65899010558
ENSMUSG00000000078	23849	Klf6	Kruppel-like factor 6	1100.10775330161	924.719525610036	889.251301146365	1092.66723582498	982.470213229341	1215.63634564918
ENSMUSG00000000085	29871	Scmh1	sex comb on midleg homolog 1	1107.81621603746	999.246231809785	1035.83118595071	1023.93331164728	1073.8109813527	1086.84216032947
ENSMUSG00000000088	12858	Cox5a	cytochrome c oxidase subunit 5A	11712.4585226386	13340.280409755	13042.1197503295	16643.7175810306	17687.8055735473	16896.8932951015
ENSMUSG00000000093	21385	Tbx2	T-box 2	121.132985849026	119.634975741701	145.183885901447	114.219609295303	137.011152185044	111.847581988168
ENSMUSG00000000094	21387	Tbx4	T-box 4	281.909494339552	332.428334233088	311.307755346373	177.899568459941	173.770241795666	189.801957313255
ENSMUSG00000000120	18053	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	9.91088066037489	12.747989218378	13.2619895775361	3.03237900783991	15.5947652893546	6.77864133261626
ENSMUSG00000000126	216795	Wnt9a	wingless-type MMTV integration site family, member 9A	540.693600471563	570.717671161231	588.413537571731	440.7057491394	362.021337074304	450.779648618981
ENSMUSG00000000127	14158	Fer	fer (fms/fps related) protein kinase	410.750942924426	398.129509435498	350.395724627531	406.338787050548	375.388278750893	354.748896406918
ENSMUSG00000000131	74204	Xpo6	exportin 6	1735.50532452787	1903.37285175936	1821.77856828258	1754.73665253669	1772.23368395451	1821.1949713629
ENSMUSG00000000134	209446	Tfe3	transcription factor E3	379.917091981037	355.963083559325	413.913674709415	362.874687938176	327.490071076447	405.588706401539
ENSMUSG00000000142	12006	Axin2	axin 2	553.90810801873	407.935654988097	631.689503561586	383.090547990442	368.704807912598	465.46670483965
ENSMUSG00000000148	231841	Brat1	BRCA1-associated ATM activator 1	312.743345282941	428.528560648553	366.449712010865	275.946489713432	301.87009952965	285.832709525319
ENSMUSG00000000149	14673	Gna12	guanine nucleotide binding protein, alpha 12	1059.36302169785	1325.79087871131	1391.81090618984	1253.3833232405	1140.64568973565	1255.17842008944
ENSMUSG00000000154	18400	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	14.3157165094304	2.94184366577954	6.97999451449266	2.02158600522661	6.68347083829483	4.51909422174417
ENSMUSG00000000159	72058	Igsf5	immunoglobulin superfamily, member 5	15.4169254716943	26.4765929920159	13.9599890289853	13.1403090339729	22.2782361276494	9.03818844348834
ENSMUSG00000000167	72614	Pih1d2	PIH1 domain containing 2	14.3157165094304	10.7867601078583	19.5439846405794	6.06475801567982	14.4808534829721	18.0763768869767
ENSMUSG00000000168	235339	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	8023.40849905461	9013.80899194852	8442.30336527887	11593.7957399746	10584.3899842463	10919.2614132894
ENSMUSG00000000171	66925	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	7082.97604528126	8581.35797307892	7519.54809046294	9676.32141401715	9859.23339829126	9700.23574697387
ENSMUSG00000000182	64654	Fgf23	fibroblast growth factor 23	6.60725377358326	2.94184366577954	2.0939983543478	1.0107930026133	0	0
ENSMUSG00000000183	14177	Fgf6	fibroblast growth factor 6	137.651120282985	79.4297789760476	90.7399286884046	158.694501410289	122.530298702072	123.145317542529
ENSMUSG00000000184	12444	Ccnd2	cyclin D2	484.531943396106	489.326663074664	541.64757432463	383.090547990442	418.83083919981	367.176405516714
ENSMUSG00000000194	277463	Gpr107	G protein-coupled receptor 107	1432.6728599053	1326.77149326657	1379.24691606375	1483.84412783633	1187.42998560372	1243.88068453508
ENSMUSG00000000197	338370	Nalcn	sodium leak channel, non-selective	13.2145075471665	13.7286037736379	12.5639901260868	0	15.5947652893546	7.9084148880523
ENSMUSG00000000202	72014	Btbd17	BTB (POZ) domain containing 17	3.30362688679163	4.90307277629924	4.18799670869559	1.0107930026133	2.22782361276494	1.12977355543604
ENSMUSG00000000204	20558	Slfn4	schlafen 4	17.619343396222	8.82553099733863	2.79199780579706	4.04317201045321	7.79738264467731	3.38932066630813
ENSMUSG00000000223	13497	Drp2	dystrophin related protein 2	729.000333018686	670.740355797736	697.301451997817	255.730629661166	311.895305787092	370.565726183022
ENSMUSG00000000244	27027	Tspan32	tetraspanin 32	13.2145075471665	6.86430188681893	9.77199232028972	3.03237900783991	8.91129445105978	6.77864133261626
ENSMUSG00000000247	16870	Lhx2	LIM homeobox protein 2	4.40483584905551	7.84491644207878	3.48999725724633	4.04317201045321	2.22782361276494	0
ENSMUSG00000000253	66355	Gmpr	guanosine monophosphate reductase	2810.28527169741	3229.16373047068	3708.47108554995	3568.09929922496	3893.12176330674	4040.07023423929
ENSMUSG00000000266	23947	Mid2	midline 2	363.398957547079	412.838727764396	315.495752055068	310.313451802284	305.211834948797	354.748896406918
ENSMUSG00000000275	217069	Trim25	tripartite motif-containing 25	518.669421226286	477.559288411546	436.94765660724	600.411043552302	584.803698350798	523.085156166888
