ID	Description	GeneRatio	pvalue	p.adjust	SYMBOL	ENTREZID	log2FoldChange
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	Ndufa5	68202	-0.598728832766811
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	COX3	17710	-0.626569640940178
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	ND4	17719	-0.635737253450456
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	COX1	17708	-0.666021637054026
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	CYTB	17711	-0.67518576476105
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	Cycs	13063	-0.703601045612769
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	ND5	17721	-0.717479694736831
GO:0022904	respiratory electron transport chain	0.041025641025641	3.54651839233876e-07	0.000448633856936307	Dnajc15	66148	-0.72854338331913
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	Ndufa5	68202	-0.598728832766811
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	COX3	17710	-0.626569640940178
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	ND4	17719	-0.635737253450456
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	COX1	17708	-0.666021637054026
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	CYTB	17711	-0.67518576476105
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	Cycs	13063	-0.703601045612769
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	ND5	17721	-0.717479694736831
GO:0022900	electron transport chain	0.041025641025641	5.18403080201267e-07	0.000448633856936307	Dnajc15	66148	-0.72854338331913
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	COX3	17710	-0.626569640940178
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	ND4	17719	-0.635737253450456
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	COX1	17708	-0.666021637054026
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	CYTB	17711	-0.67518576476105
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	Cycs	13063	-0.703601045612769
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	ND5	17721	-0.717479694736831
GO:0042773	ATP synthesis coupled electron transport	0.0358974358974359	8.4708492788525e-07	0.000448633856936307	Dnajc15	66148	-0.72854338331913
GO:0045333	cellular respiration	0.0512820512820513	9.4898753450303e-07	0.000448633856936307	Ogdhl	239017	-0.591673179601376
