ID	Description	GeneRatio	pvalue	p.adjust	SYMBOL	ENTREZID	log2FoldChange
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Myh3	17883	2.89939644685598
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Ryr3	20192	2.13835309893572
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Pkp2	67451	1.45907938310341
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Actc1	11464	1.23775360273695
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Dsc2	13506	1.04891342268734
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Chrnb1	11443	0.93596637201228
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Tnni1	21952	0.896321193535328
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Myh14	71960	0.893993931054948
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Myh7	140781	0.832840655722877
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Kcnh2	16511	0.782816045829928
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Ccn2	14219	0.731725625989032
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Chrng	11449	0.623647202809095
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Myh6	17888	0.621628057568325
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Pde5a	242202	0.61646626897963
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Scn3b	235281	0.599214893553136
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Kcnn2	140492	-0.603025453757827
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Aldoa	11674	-0.617710745236676
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Nos1	18125	-0.684907547794127
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Myl1	17901	-0.730777756343603
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Slc8a1	20541	-0.831193510053332
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Tpm1	22003	-0.863503895986953
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Tnnc2	21925	-0.937642084343837
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Tnnt3	21957	-1.08139974274897
GO:0006941	striated muscle contraction	0.0394736842105263	1.16440824524686e-11	4.28851556724419e-08	Tnni2	21953	-1.12847795695274
GO:0030199	collagen fibril organization	0.0213815789473684	1.90183376906202e-09	3.50222688572771e-06	Comp	12845	1.41999679302459
GO:0030199	collagen fibril organization	0.0213815789473684	1.90183376906202e-09	3.50222688572771e-06	Col11a2	12815	0.894222588945609
GO:0030199	collagen fibril organization	0.0213815789473684	1.90183376906202e-09	3.50222688572771e-06	Fkbp10	14230	0.885517320140619
