ID	Description	NES	pvalue	p.adjust	SYMBOL	ENTREZID	log2FoldChange
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Msh2	17685	-0.241243300875508
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Slc25a33	70556	-0.242125988264291
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox4i2	84682	-0.25463166300329
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Coq7	12850	-0.257554949612676
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufa7	66416	-0.267322243987959
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Sdhc	66052	-0.273613069839089
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atpsckmt	68073	-0.27962938703052
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5b	11947	-0.290847211623687
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Sdhaf2	66072	-0.293678177746564
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufv1	17995	-0.307346192107155
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufs8	225887	-0.31043911506236
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Sdhd	66925	-0.321493093400856
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5h	71679	-0.327345610465185
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox6a2	12862	-0.330283164778015
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufv3	78330	-0.346643417657936
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox7a2	12866	-0.350742755773788
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox7a1	12865	-0.351677244315
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufa8	68375	-0.355936720577881
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcc2	67267	-0.356417682792528
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Afg1l	215951	-0.359859120295771
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Chchd10	103172	-0.361174563941913
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufs6	407785	-0.365848043032186
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcrq	22272	-0.37110492526613
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Coq9	67914	-0.386746838122296
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufb9	66218	-0.389758764481075
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cyc1	66445	-0.390533371144852
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox5b	12859	-0.391543633298244
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5c1	11949	-0.392804497666879
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcrc1	22273	-0.3947133617254
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox4i1	12857	-0.39915018455778
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5j2	57423	-0.401526869782204
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcr10	66152	-0.402859104092597
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufb6	230075	-0.405102626264601
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Cox5a	12858	-0.412599015127307
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufb8	67264	-0.419329834135086
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5a1	11946	-0.421198970800018
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Sdha	66945	-0.424641771648936
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufs2	226646	-0.44042322829285
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5o	28080	-0.442242043310884
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufs1	227197	-0.445837652633236
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5pb	11950	-0.449450598169862
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	ND4L	17720	-0.451307987275478
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufa10	67273	-0.462084916308589
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufc2	68197	-0.463601181785966
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcrh	66576	-0.464933711969473
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ppif	105675	-0.468090659038723
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Uqcrfs1	66694	-0.468101004226122
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Atp5l	27425	-0.482028771115535
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Ndufaf1	69702	-0.483730014122546
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	Actn3	11474	-0.486792192876592
GO:0006119	oxidative phosphorylation	-3.03349110953907	1e-10	4.33083333333333e-08	ATP6	17705	-0.512347321111359
